StateUnionTerritory,Year,Paddy,Jowar,Bajra,Maize,Ragi,Wheat,Barley,Gram,TurArhar,SugarRaw,Potato,Tobacco,Groundnut,state,RapeSeed,Sesamum,Linseed,CasterSeed,Nigerseed,Cotton,Soyabean,Sannhemp,Pepper,GingerFresh,Chilly,Turmeric,Mesta,Toria,Jute,Ginger,ChillyDry,Banana,Coconut100Nos,ChillyFresh,TurmericFresh,Rice,Nigeseed,TurmericDry,Sunflower,Coconut1000Nos,Arecanut,GingerDry,Cashewnut,Arecanut100Nos,Tapioca
GUNA,2001-02,,,,,,,,,,,,,,MANIPUR,..,..,..,..,..,..,..,..,..,1136,..,..,..,,,,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MANIPUR,..,..,1477,..,..,..,..,..,..,1578,..,..,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,..,3192,..,..,1375,..,..,..,..,3458,..,..,..,,,,,,,,,,,,,,,,,,
DATIA,2001-02,,,,,,,,,,,,,,MANIPUR,1268,1896,1522,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MANIPUR,1495,2542,2022,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,1588,2645,1591,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
BHOPAL,2001-02,,,,,,,,,,,,,,MANIPUR,..,..,1617,..,..,..,941,..,..,..,3443,..,..,,,,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MANIPUR,..,..,..,..,..,..,1371,..,..,..,4000,..,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,..,..,..,..,..,..,1478,..,..,..,4243,..,..,,,,,,,,,,,,,,,,,,
SEHORE,2001-02,,,,,,,,,,,,,,MANIPUR,..,2070,1402,..,..,..,969,..,..,1626,3757,..,..,,,,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MANIPUR,..,1533,1850,..,..,..,1326,..,..,2263,4065,..,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,..,3166,1692,..,..,..,1389,..,..,3528,4263,..,..,,,,,,,,,,,,,,,,,,
RAISEN,2001-02,,,,,,,,,,,,,,MANIPUR,..,2600,1431,..,..,..,922,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MANIPUR,..,1600,1575,..,..,..,1244,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,..,..,1731,..,..,..,1329,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
VIDISHA,2001-02,,,,,,,,,,,,,,MANIPUR,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MANIPUR,1575,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
