StateUnionTerritory,Year,Paddy,Jowar,Bajra,Maize,Ragi,Wheat,Barley,Gram,TurArhar,SugarRaw,Potato,Tobacco,Groundnut,state,RapeSeed,Sesamum,Linseed,CasterSeed,Nigerseed,Cotton,Soyabean,Sannhemp,Pepper,GingerFresh,Chilly,Turmeric,Mesta,Toria,Jute,Ginger,ChillyDry,Banana,Coconut100Nos,ChillyFresh,TurmericFresh,Rice,Nigeseed,TurmericDry,Sunflower,Coconut1000Nos,Arecanut,GingerDry,Cashewnut,Arecanut100Nos,Tapioca
,2002-03,,,,,,,,,,,,,,TAMILNADU--DIST,..,..,..,..,,..,,,..,,2837,3348,..,..,,..,,50,281,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,TAMILNADU--DIST,..,..,..,..,,..,,,..,,2523,3488,..,..,,..,,56,342,,,,,,,,,,,,
TIRUVALLUR,2001-02,,,,,,,,,,,,,,TAMILNADU--DIST,..,1681,..,..,,..,,,..,,..,..,..,..,,..,,..,374,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,TAMILNADU--DIST,..,2116,..,",.",,..,,,..,,3650,..,..,..,,..,,..,407,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,TAMILNADU--DIST,..,2093,..,..,,..,,,..,,2790,..,..,..,,..,,..,395,,,,,,,,,,,,
KARUR,2001-02,,,,,,,,,,,,,,TAMILNADU--DIST,..,2139,..,..,,..,,,..,,2558,1860,..,..,,..,,..,233,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,TAMILNADU--DIST,..,2465,..,..,,..,,,..,,2644,2976,..,..,,..,,..,260,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,TAMILNADU--DIST,..,2651,..,..,,..,,,..,,2883,3227,..,..,,..,,70,465,,,,,,,,,,,,
PERAMBALUR,2001-02,,,,,,,,,,,,,,TAMILNADU--DIST,..,1609,..,..,,..,,,..,,..,..,..,..,,..,,..,..,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,TAMILNADU--DIST,..,..,..,..,,..,,,..,,..,..,..,..,,..,,..,..,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,TAMILNADU--DIST,..,1829,..,..,,..,,,..,,..,..,..,..,,..,,..,..,,,,,,,,,,,,
TIRUVARUR,2001-02,,,,,,,,,,,,,,TAMILNADU--DIST,..,1709,..,..,,..,,,..,,2667,2083,..,..,,..,,64,165,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,TAMILNADU--DIST,..,2093,..,..,,..,,,..,,2995,3127,..,..,,..,,..,257,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,TAMILNADU--DIST,..,1916,..,..,,..,,,..,,2664,350 1,..,..,,..,,..,297,,,,,,,,,,,,
THENI,2001-02,,,,,,,,,,,,,,TAMILNADU--DIST,..,..,..,..,,1200,,,..,,2476,1514,..,..,,..,,..,222,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,TAMILNADU--DIST,..,..,..,..,,..,,,..,,2674,2678,..,..,,..,,..,306,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,TAMILNADU--DIST,..,..,..,..,,1758,,,..,,2302,3225,..,..,,..,,62,322,,,,,,,,,,,,
NAMAKKAL,2001-02,,,,,,,,,,,,,,TAMILNADU--DIST,..,1597,..,1067,,..,,,..,,3348,..,..,..,,..,,..,..,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,TAMILNADU--DIST,..,1941,..,1192,,..,,,..,,3935,..,..,..,,..,,..,355,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,TAMILNADU--DIST,..,1768,..,1403,,..,,,..,,3418,..,..,..,,..,,64,..,,,,,,,,,,,,
TAMILNADU,2001-02,,,,,,,,,,,,,,TAMILNADU--DIST,..,1638,..,1055,,1550,,,..,,2467,1534,..,..,,..,,53,227,,,,,,,,,,,,
(STATE WEIGHTED,2002-03,,,,,,,,,,,,,,TAMILNADU--DIST,..,2080,..,1213,,1757,,,..,,2751,2631,..,..,,..,,55,295,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,TAMILNADU--DIST,..,2120,..,1457,,1923,,,..,,2386,2967,..,..,,..,,62,362,,,,,,,,,,,,
TRIPURA,2001-02,1087Wr,..,..,..,..,..,..,..,..,1492,434,..,..,TRIPURA--DISTRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,900Ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,900Wt,,..,..,..,..,..,..,..,1940,620,..,..,TRIPURA--DISTRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,820At,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,1091Wt,..,..,..,..,..,..,..,..,1450,630,..,..,TRIPURA--DISTRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,798At,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIPURA,2001-02,1087Wr,..,..,..,..,..,..,..,..,1492,434,..,..,TRIPURA--DISTRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(STATE W,900Ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,900Wt,..,..,..,..,..,..,..,..,1940,620,..,..,TRIPURA--DISTRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,820At,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,1091Wt,..,..,..,..,..,..,..,..,1450,630,..,..,TRIPURA--DISTRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,798At,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.22,FARM HAR,TRIPURA,--,DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIPURA,2001-02,,,,,,,,,,,,,,TRIPURA--DISTRI,1918,1887,..,..,,2525,,..,..,,..,..,645,..,796,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,TRIPURA--DISTRI,2360,1838,..,..,,2547,,..,..,,..,..,684,..,744,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,TRIPURA--DISTRI,2222,1602,..,..,,1490,,..,..,,..,..,692,..,934,..,,,,,,,,,,,,,,,
TRIPURA(STATE WEIGHTED,2001-02,,,,,,,,,,,,,,TRIPURA--DISTRI,1918,1887,..,..,,2525,,..,..,,..,..,645,..,796,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,TRIPURA--DISTRI,2360,1838,..,..,,2547,,..,..,,..,..,684,..,744,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,TRIPURA--DISTRI,2222,1602,..,..,,1490,,..,..,,..,..,692,..,934,..,,,,,,,,,,,,,,,
SAHARANPUR,2001-02,501,..,..,..,..,610,..,..,..,927,..,..,1162,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,83**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,570,..,..,..,..,626,..,..,..,818,..,..,1465,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUZAFFARNAGAR,2001-02,522,..,..,..,..,583,..,..,..,445,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,88**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,621,..,..,..,..,621,..,..,..,772,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,624,..,..,..,..,640,..,..,..,839,….,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEERUT,2001-02,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGPAT,2001-02,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULANDSHAHR,2001-02,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,909,..,378,529,..,..,..,..,..,1357,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,91**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHAZIABAD,2001-02,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAUTAM BUDDHA,2001-02,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAR,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIGARH,2001-02,577,..,308,427,..,..,..,..,1281,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,681,..,489,584,..,596,502,..,1453,..,201,. .,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,644,..,532,616,..,616,472,..,1678,..,272,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHA MAYA,NAGAR,2001-02,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,615,521,..,..,..,216,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATHURA,2001-02,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRA,2001-02,..,..,330,..,..,606,495,1415,..,..,334,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,540,..,..,630,617,1550,1764,..,218,. .,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAINPURI,2001-02,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,486,..,508,547,..,630,617,1550,1764,..,218,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,463,..,313,422,..,579,597,..,..,..,187,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETAH,2001-02,541,..,347,389,..,524,498,1607,1442,..,273,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,532,..,..,..,143,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIROZABAD,2001-02,425,..,331,411,..,558,469,..,1476,..,313,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,491,..,511,575,..,603,569,..,..,..,171,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,477,..,409,431,..,626,547,..,..,..,219,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAREILLY,2001-02,437,..,..,..,..,525,..,2109,1978,..,423,..,1313,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,606,..,421,..,..,625,..,..,..,..,293,..,1790,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUDAUN,2001-02,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAHAJAHANPUR,2001-02,430,387,..,..,..,537,..,..,..,966,328,..,1334,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,67**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,524,477,..,..,..,574,..,1398,..,826,162,..,1629,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,66**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,488,442,..,..,..,600,..,..,..,758,220,..,1630,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PILIBHIT,2001-02,..,..,..,..,..,..,,,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORADABAD,2001-02,..,..,..,..,..,..,,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JYOTIBA PHULE,2001-02,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAR,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIJNOR,2001-02,523,..,..,..,..,557,..,..,..,956,..,..,1511,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,81**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,546,..,..,..,..,602,..,1529,..,786,..,..,1366,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,579,..,..,..,..,630,..,..,..,871,..,..,1516,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,54**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMPUR,2001-02,..,..,..,..,..,548,..,..,..,..,243,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETAWAH,2001-02,414,..,331,418,..,537,489,1512,1546,..,345,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,473,..,509,527,..,594,584,1533,1636,..,180,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,468,..,369,404,..,592,547,1322,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANPUR NAGAR,2001-02,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANPUR DEHAT,2001-02,442,366,353,395,..,541,486,1414,1505,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,544,401,546,497,..,611,537,1470,1523,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARRUKHABAD,2001-02,515,..,..,389,..,527,..,..,..,..,329,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,519,..,..,542,..,564,..,..,..,..,193,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,505,..,..,424,..,513,..,..,..,..,131,1360,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANNAUJ,2001-02,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AURAIYA,2001-02,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLAHABAD,2001-02,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FATEHPUR,2001-02,428,380,..,..,..,..,459,1351,1294,..,335,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRATAPGARH,2001-02,369,453,490,..,..,565,609,1476,1629,..,393,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,420,481,446,..,..,574,540,1663,1746,..,260,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,414,487,445,..,..,694,693,1476,1628,..,253,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAUSHAMBI,2001-02,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,..,..,..,..,..,..,..,,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHANSI,2001-02,..,453,..,..,..,..,..,..,..,..,..,..,1182,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,483,..,..,..,574,489,1408,..,..,..,..,1538,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,461,..,..,..,585,439,1267,..,..,..,..,1631,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALAUN,2001-02,446,..,394,..,..,517,448,1372,1601,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,518,467,..,..,577,526,1450,1665,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,473,473,..,..,581,482,1341,1656,..,..,..,..,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LALITPUR,2001-02,429,464,..,391,..,582,417,1310,..,..,..,..,1176,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,453,473,..,506,..,640,509,1469,..,..,..,..,1308,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,366,..,..,414,..,597,510,1306,..,..,..,..,1745,UTTARPRADESH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOALPARA,2001-02,,,,,,,,,,,,,,ASSAM--DISTRICT,..,..,..,..,,..,,..,..,,,,..,..,1026,..,,,,2078,..,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,ASSAM--DISTRICT,..,..,..,..,,..,,..,..,,,,..,..,1000,..,,,,1984,..,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,ASSAM--DISTRICT,..,..,..,..,,..,,..,..,,,,..,..,627,..,,,,1723,500,,,,,,,,,,
KAMRUP,2001-02,,,,,,,,,,,,,,ASSAM--DISTRICT,..,..,..,..,,..,,..,..,,,,..,..,..,..,,,,1235,..,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,ASSAM--DISTRICT,1742,..,..,..,,..,,..,..,,,,..,..,..,..,,,,1363,..,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,ASSAM--DISTRICT,2256,..,..,..,,..,,..,..,,,,..,..,..,..,,,,1263,..,,,,,,,,,,
CACHAR,2001-02,,,,,,,,,,,,,,ASSAM--DISTRICT,..,..,..,..,,..,,..,..,,,,..,..,..,..,,,,..,..,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,ASSAM--DISTRICT,..,..,..,..,,..,,..,..,,,,..,..,..,..,,,,..,..,,,,,,,,,,
,200304,,,,,,,,,,,,,,ASSAM--DISTRICT,..,..,..,..,,..,,..,..,,,,..,..,..,..,,,,..,..,,,,,,,,,,
NAGAON,2001-02,,,,,,,,,,,,,,ASSAM--DISTRICT,1213,1100,..,..,,..,,..,..,,,,..,..,..,..,,,,1500,..,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,ASSAM--DISTRICT,1560,900,..,..,,..,,..,..,,,,484,..,572,..,,,,1240,..,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,ASSAM--DISTRICT,..,1000,..,..,,..,,..,..,,,,..,..,600,..,,,,..,..,,,,,,,,,,
SIVASAGAR,2001-02,,,,,,,,,,,,,,ASSAM--DISTRICT,..,2733,..,..,,..,,..,..,,,,..,..,..,..,,,,2550,..,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,ASSAM--DISTRICT,2467,2467,..,..,,..,,..,..,,,,..,..,..,..,,,,3000,..,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,ASSAM--DISTRICT,2740,2720,..,..,,..,,..,..,,,,..,..,..,..,,,,2975,..,,,,,,,,,,
DARRANG,2001-02,,,,,,,,,,,,,,ASSAM--DISTRICT,..,1543,1730,..,,..,,..,..,,,,..,..,..,..,,,,..,433,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,ASSAM--DISTRICT,1111,1836,2075,..,,..,,..,..,,,,..,..,..,..,,,,..,481,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,ASSAM--DISTRICT,1735,2286,1916,..,,..,,..,..,,,,..,..,..,..,,,,..,581,,,,,,,,,,
DIBRUGARH,2001-02,,,,,,,,,,,,,,ASSAM--DISTRICT,..,..,..,..,,..,,..,..,,,,..,..,..,..,,,,..,..,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,ASSAM--DISTRICT,..,..,..,..,,..,,..,..,,,,..,..,..,..,,,,1800,..,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,ASSAM--DISTRICT,..,..,..,..,,..,,..,..,,,,..,..,..,..,,,,1800,..,,,,,,,,,,
